ModelFullName,WTC,WTG,Designator,ManufacturerCode,AircraftDescription,EngineCount,EngineType
TC-2,L,G,TC2,AERO MIRAGE,LandPlane,1,Piston
G-164 Ag-Cat-Leo,L,G,G164,SERV-AERO,LandPlane,1,Piston
Super Guepard,L,G,GUEP,AERO SERVICES,LandPlane,1,Piston
Guêpe ,L,G,GEPE,AERO SERVICES,LandPlane,1,Piston
377SGT Super Guppy,M,D,SGUP,AERO SPACELINES,LandPlane,4,Turboprop/Turboshaft
Quasar Lite,L,G,QUAS,QUASAR,LandPlane,1,Piston
MXP-800 Fantasy,L,G,MX80,AEROTEC (2),LandPlane,1,Piston
Sentinel,L,G,MX1T,WORLD AIRCRAFT,LandPlane,1,Piston
MXP-158 Embera,L,G,MX58,AERO-EAST-EUROPE,LandPlane,1,Piston
WA-3 Surveyor,L,G,MX10,WORLD AIRCRAFT,LandPlane,1,Piston
Okhotnik,L,G,OKHO,AERO-ASTRA,Gyrocopter,1,Piston
CH-701 Stol,L,G,CH70,ZENITH,LandPlane,1,Piston
Cozy,L,G,COZY,RUTAN,LandPlane,1,Piston
Aerocar,L,G,CAR,AEROCAR,LandPlane,1,Piston
Super Coot,L,G,COOT,TAYLOR (2),Amphibian,1,Piston
Mini-Imp,L,G,MIMP,TAYLOR (2),LandPlane,1,Piston
CA-3 Comp Air 3,L,G,CA3,COMP AIR,LandPlane,1,Piston
CA-4 Comp Monster,L,G,CA4,COMP AIR,LandPlane,1,Piston
CA-6 Comp Air 6,L,G,CA6,COMP AIR,LandPlane,1,Piston
CA-7P Comp Air 7P,L,G,CA7P,COMP AIR,LandPlane,1,Piston
CA-7T Comp Air 7T,L,G,CA7T,COMP AIR,LandPlane,1,Turboprop/Turboshaft
CA-8 Comp Air 8,L,G,CA8,COMP AIR,LandPlane,1,Turboprop/Turboshaft
CA-10 Comp Air 10,L,G,CA1P,AEROCOMP,LandPlane,1,Piston
CA-10XLT Comp Air 10XLT,L,G,CA1T,COMP AIR,LandPlane,1,Turboprop/Turboshaft
E-Z Flyer,L,G,EZFL,MERLIN,LandPlane,1,Piston
Merlin,L,G,MAME,MERLIN,LandPlane,1,Piston
D-120 Paris-Nice,L,G,D11,WASSMER,LandPlane,1,Piston
G-802 Orion,L,G,G800,GRINVALDS,LandPlane,1,Piston
JA-177 Pingouin 152,L,G,J177,EURO PINGOUIN,LandPlane,1,Piston
SILA-450,L,G,S450,AERO-EAST-EUROPE,LandPlane,1,Piston
01 Isatis,L,G,ISAT,AEROJAMES,LandPlane,1,Piston
02,L,G,ZA6,SAFAT,Helicopter,1,Piston
MP-02 Czajka,L,G,MP02,AERO-KROS,LandPlane,1,Piston
LoCamp,L,G,LOCA,AEROLAB,LandPlane,1,Piston
AeroSkiff,L,G,SKIF,AEROLITES,Amphibian,1,Piston
F-8L Falco,L,G,F8L,SEQUOIA,LandPlane,1,Piston
RF-10,L,G,RF10,FOURNIER,LandPlane,1,Piston
AMT-600 Guri,L,G,GURI,AEROMOT,LandPlane,1,Piston
7JC Tri-Con,L,G,CH7A,CHAMPION,LandPlane,1,Piston
HUL-26 Pushpak,L,G,AR11,HINDUSTAN,LandPlane,1,Piston
15 Sedan,L,G,AR15,AERONCA,LandPlane,1,Piston
CF Scout,L,G,AERK,AERONCA,LandPlane,1,Piston
50 Chief,L,G,AR50,AERONCA,LandPlane,1,Piston
65 Super Chief,L,G,AR65,AERONCA,LandPlane,1,Piston
50 Tandem,L,G,AR5T,AERONCA,LandPlane,1,Piston
L-3 Grasshopper,L,G,AR6T,AERONCA,LandPlane,1,Piston
Airelle,L,G,AIRL,AERONIX,LandPlane,2,Piston
M-8 Eagle,L,G,LGND,ORLIČAN (2),LandPlane,1,Piston
LAK-X,L,G,LAKX,AVIA BALTIKA,LandPlane,1,Piston
A-19,L,G,A19,AEROPRACT,LandPlane,1,Piston
A-21 Solo,L,G,A21,AEROPRACT,LandPlane,1,Piston
A-23 Dragon,L,G,A23,AEROPRACT,LandPlane,1,Piston
A-25 Breeze,L,G,A25,AEROPRACT,Amphibian,1,Piston
A-27,L,G,A27,AVANTAGE,LandPlane,1,Piston
A-33,L,G,A33,AEROPRACT,LandPlane,1,Piston
A-37,L,G,AA37,AEROPRACT,LandPlane,2,Piston
SA-20 Vista,L,G,AP20,AEROPRAKT,LandPlane,1,Piston
A-22 Kelpie,L,G,AP22,AEROPRAKT,LandPlane,1,Piston
A-24 Viking,L,G,AP24,AEROPRAKT,Amphibian,1,Piston
SA-26 Twin Vista,L,G,AP26,AEROPRAKT,LandPlane,2,Piston
SA-28 Victor,L,G,AP28,AEROPRAKT,LandPlane,2,Piston
A-36 Vulcan,L,G,AP36,AEROPRAKT,LandPlane,2,Piston
A-32 Vixxen,L,G,AP32,AEROPRAKT,LandPlane,1,Piston
A-240,L,G,EFOX,AEROTREK,LandPlane,1,Piston
T-101 Grach,L,G,T101,AEROPROGRESS,LandPlane,1,Turboprop/Turboshaft
T-411 Wolverine,L,G,T411,KHRUNICHEV,LandPlane,1,Piston
Aeropup,L,G,APUP,SUPAPUP,LandPlane,1,Piston
Dingo,L,G,DNGO,AERORIC,Amphibian,1,Turboprop/Turboshaft
UL-2000 Flamingo,L,G,UL2F,AEROS,LandPlane,1,Piston
Katran,L,G,KATR,AEROSAMARA,LandPlane,1,Piston
F-41 El'brus,L,G,F41E,AEROSAMARA,LandPlane,2,Piston
MH-46 Eclipse,L,G,MH46,AEROSETTE,LandPlane,1,Piston
AS-532 Cougar,M,G,AS32,TAI,Helicopter,2,Turboprop/Turboshaft
AS-532U2 Cougar Mk2,M,G,AS3B,EUROCOPTER,Helicopter,2,Turboprop/Turboshaft
AS-350 Ecureuil,L,G,AS50,LOT,Helicopter,1,Turboprop/Turboshaft
VH-55 Esquilo,L,G,AS55,HELIBRAS,Helicopter,2,Turboprop/Turboshaft
SA-366 Panther 800,L,G,AS65,VOUGHT,Helicopter,2,Turboprop/Turboshaft
Puma,L,G,PUMA,WESTLAND,Helicopter,2,Turboprop/Turboshaft
CM-170R Magister,L,G,FOUG,VALMET,LandPlane,2,Jet
Mohawk 298,M,G,N262,NORD,LandPlane,2,Turboprop/Turboshaft
SA-315 Lama,L,G,LAMA,SUD,Helicopter,1,Turboprop/Turboshaft
SE-3160 Alouette 3,L,G,ALO3,SUD,Helicopter,1,Turboprop/Turboshaft
SE-3130 Alouette 2,L,G,ALO2,SUD-EST,Helicopter,1,Turboprop/Turboshaft
SA-321 Super Frelon,M,G,FREL,SUD,Helicopter,3,Turboprop/Turboshaft
SA-361 Dauphin,L,G,S360,AEROSPATIALE,Helicopter,1,Turboprop/Turboshaft
SA-365C Dauphin 2,L,G,S65C,AEROSPATIALE,Helicopter,2,Turboprop/Turboshaft
SN-601 Corvette,L,G,S601,AEROSPATIALE,LandPlane,2,Jet
TB-30 Epsilon,L,G,TB30,SOCATA,LandPlane,1,Piston
WT-9 Dynamic,L,G,WT9,AEROSPOOL,LandPlane,1,Piston
WT-10 Advantic,L,G,WT10,AEROSPOOL,LandPlane,1,Piston
Quail,L,G,QAIL,AEROSPORT,LandPlane,1,Piston
Rail,L,G,RAIL,AEROSPORT,LandPlane,1,Piston
Scamp,L,G,SCAM,AGRO-COPTEROS,LandPlane,1,Piston
Woody Pusher,L,G,WOPU,WOODS,LandPlane,1,Piston
M-10 Cadet,L,G,M10,MOONEY,LandPlane,1,Piston
M-20R Ovation 3,L,G,M20P,MOONEY,LandPlane,1,Piston
Aerostar,L,G,AEST,TED SMITH,LandPlane,2,Piston
FJ-100,L,G,FJ10,AEROSTAR (1),LandPlane,2,Jet
R40S Festival,L,G,FEST,AEROSTAR (2),LandPlane,1,Piston
Yak-52,L,G,YK52,YAKOVLEV,LandPlane,1,Piston
MiG-21,M,G,MG21,MIKOYAN,LandPlane,1,Jet
WT-02 Wild Thing,L,G,WILT,ULTRALEICHTBAU,LandPlane,1,Piston
Breezer,L,G,BREZ,BREEZER,LandPlane,1,Piston
T-23 Uirapuru,L,G,A122,AEROTEC (1),LandPlane,1,Piston
MXP-650 Amigo,L,G,MX65,AGRO-COPTEROS,LandPlane,1,Piston
MXP-740 Savannah,L,G,SVNH,ICP,LandPlane,1,Piston
L-13S Vivat,L,G,L13S,AEROTECHNIK,LandPlane,1,Piston
S-1 Special,L,G,PTS1,PITTS,LandPlane,1,Piston
S-2 Special,L,G,PTS2,PITTS,LandPlane,1,Piston
Turbo Grizzly,L,G,GRIZ,AEROTEK (2),LandPlane,1,Turboprop/Turboshaft
L-6,L,G,L6,AEROVOLGA,Amphibian,2,Piston
LA-8 Flagman,L,G,LA8,AEROVOLGA,Amphibian,2,Piston
Airtourer,L,G,TOUR,VICTA,LandPlane,1,Piston
CT-4 Akala,L,G,CT4,PACIFIC AEROSPACE,LandPlane,1,Piston
V-1,L,G,OSCR,VULCANAIR,LandPlane,1,Piston
G-164 Turbo Ag-Cat,L,G,G64T,SCHWEIZER,LandPlane,1,Turboprop/Turboshaft
A-109,L,G,A109,SABCA,Helicopter,2,Turboprop/Turboshaft
AW-119 Koala,L,G,A119,LEONARDO,Helicopter,1,Turboprop/Turboshaft
T-129,L,G,A129,TAI,Helicopter,2,Turboprop/Turboshaft
Sioux,L,G,B47G,WESTLAND,Helicopter,1,Piston
UH-13R,L,G,B47J,BELL,Helicopter,1,Piston
Ultra Huey,L,G,UH1,UNC,Helicopter,1,Turboprop/Turboshaft
2061,L,G,B06,PANHA,Helicopter,1,Turboprop/Turboshaft
VH-1,L,G,B212,BELL,Helicopter,2,Turboprop/Turboshaft
NBell-412,L,G,B412,NUSANTARA,Helicopter,2,Turboprop/Turboshaft
WS-61 Sea King,M,G,S61,WESTLAND,Helicopter,2,Turboprop/Turboshaft
S-61R,M,G,S61R,SIKORSKY,Helicopter,2,Turboprop/Turboshaft
AW-139,L,G,A139,LEONARDO,Helicopter,2,Turboprop/Turboshaft
500,L,G,H500,RACA,Helicopter,1,Turboprop/Turboshaft
AW-149,M,G,A149,LEONARDO,Helicopter,2,Turboprop/Turboshaft
HH-101 Caesar,M,G,EH10,LEONARDO,Helicopter,3,Turboprop/Turboshaft
AW-159 Lynx Wildcat,L,G,LYNX,WESTLAND,Helicopter,2,Turboprop/Turboshaft
AW-169,L,G,A169,LEONARDO,Helicopter,2,Turboprop/Turboshaft
AW-189,M,G,A189,LEONARDO,Helicopter,2,Turboprop/Turboshaft
BA-609,M,G,B609,BELL-AGUSTA,Tiltrotor,2,Turboprop/Turboshaft
CH-47 Chinook,M,F,H47,MERIDIONALI,Helicopter,2,Turboprop/Turboshaft
BAe-4100 Jetstream 41,M,G,JS41,JETSTREAM,LandPlane,2,Turboprop/Turboshaft
RJ-70,M,F,RJ70,BRITISH AEROSPACE,LandPlane,4,Jet
RJ-85,M,F,RJ85,BRITISH AEROSPACE,LandPlane,4,Jet
RJ-100,M,F,RJ1H,BRITISH AEROSPACE,LandPlane,4,Jet
SV-4,L,G,SV4,STAMPE,LandPlane,1,Piston
Y-5,L,G,AN2,SHIJIAZHUANG,LandPlane,1,Piston
PA-28-181 Archer LX,L,G,P28A,PIPER,LandPlane,1,Piston
PA-28-236 Dakota,L,G,P28B,PIPER,LandPlane,1,Piston
PA-28R-201 Arrow,L,G,P28R,PIPER,LandPlane,1,Piston
PA-39 Twin Comanche CR,L,G,PA30,PIPER,LandPlane,2,Piston
PA-31P-425 Pressurized Navajo,L,G,PA31,PIPER,LandPlane,2,Piston
Comanchero 620,L,G,PAY2,SCHAFER,LandPlane,2,Turboprop/Turboshaft
PA-32 Turbo Saratoga,L,G,PA32,PIPER,LandPlane,1,Piston
PA-32R-301T Turbo Saratoga SP,L,G,P32R,PIPER,LandPlane,1,Piston
PA-32RT-300T Turbo Lance 2,L,G,P32T,PIPER,LandPlane,1,Piston
Princess,L,G,PA34,SEGUIN,LandPlane,2,Piston
PA-36 Pawnee Brave,L,G,PA36,PIPER,LandPlane,1,Piston
PA-38 Tomahawk,L,G,PA38,PIPER,LandPlane,1,Piston
PA-42-720 Cheyenne 3,L,G,PAY3,PIPER,LandPlane,2,Turboprop/Turboshaft
PA-44 Turbo Seminole,L,G,PA44,PIPER,LandPlane,2,Piston
PA-28RT-201T Turbo Arrow 4,L,G,P28U,PIPER,LandPlane,1,Piston
PA-28R-201T Turbo Arrow 3,L,G,P28S,PIPER,LandPlane,1,Piston
T-5 Brave Eagle,M,,T5YY,AIDC,LandPlane,2,Jet
AT-3 Tzu-Chung,M,G,AT3,AIDC,LandPlane,2,Jet
F-5 Azarakhsh,M,G,F5,NORTHROP,LandPlane,2,Jet
F-CK-1 Ching-Kuo,M,G,CKUO,AIDC,LandPlane,2,Jet
RV-6,L,G,RV6,VAN'S,LandPlane,1,Piston
M-18 Dromader,L,G,M18,PZL-MIELEC,LandPlane,1,Piston
748,M,E,A748,KANPUR,LandPlane,2,Turboprop/Turboshaft
E1000,L,G,EPIC,EPIC AIRCRAFT,LandPlane,1,Turboprop/Turboshaft
Epic Escape,L,G,ESCA,EPIC AIRCRAFT,LandPlane,1,Turboprop/Turboshaft
18,L,G,UM18,UMBAUGH,Gyrocopter,1,Piston
Twinstar,L,G,TSTR,FARRINGTON,Gyrocopter,1,Piston
Commander 147,L,G,CMD1,AIR COMMAND,Gyrocopter,1,Piston
Commander  Elite Tandem ,L,G,CMDT,AIR COMMAND,Gyrocopter,1,Piston
Commander Elite Side-by-Side,L,G,CMDE,AIR COMMAND,Gyrocopter,1,Piston
FU-24,L,G,FU24,SARGENT-FLETCHER,LandPlane,1,Piston
A-2 Aircoupe,L,G,ERCO,MOONEY,LandPlane,1,Piston
AT-401,L,G,AT3P,AIR TRACTOR,LandPlane,1,Piston
AT-402,L,G,AT3T,AIR TRACTOR,LandPlane,1,Turboprop/Turboshaft
AT-501,L,G,AT5P,AIR TRACTOR,LandPlane,1,Piston
AT-504,L,G,AT5T,AIR TRACTOR,LandPlane,1,Turboprop/Turboshaft
AT-602,L,G,AT6T,AIR TRACTOR,LandPlane,1,Turboprop/Turboshaft
AT-802 Sky Warden,L/M,G,AT8T,AIR TRACTOR,LandPlane,1,Turboprop/Turboshaft
AT-250,L,G,AT2P,AIR TRACTOR,LandPlane,1,Piston
TK-23,H,C,A400,AIRBUS,LandPlane,4,Turboprop/Turboshaft
ACJ-350-1000,H,B,A35K,AIRBUS,LandPlane,2,Jet
A-319 ACJ,M,D,A319,AIRBUS,LandPlane,2,Jet
A-318,M,D,A318,AIRBUS,LandPlane,2,Jet
A-320,M,D,A320,AIRBUS,LandPlane,2,Jet
A-330-200,H,B,A332,AIRBUS,LandPlane,2,Jet
A-340-200,H,B,A342,AIRBUS,LandPlane,4,Jet
A-340-300,H,B,A343,AIRBUS,LandPlane,4,Jet
A-340-500,H,B,A345,AIRBUS,LandPlane,4,Jet
A-340-600,H,B,A346,AIRBUS,LandPlane,4,Jet
A-380-800,J,A,A388,AIRBUS,LandPlane,4,Jet
ACJ-330-900,H,B,A339,AIRBUS,LandPlane,2,Jet
ACJ-319neo,M,D,A19N,AIRBUS,LandPlane,2,Jet
ACJ-320neo,M,D,A20N,AIRBUS,LandPlane,2,Jet
A-321neo,M,D,A21N,AIRBUS,LandPlane,2,Jet
E-Fan,L,G,EFAN,AIRBUS,LandPlane,2,Electric
SC-105 Amazonas,M,F,C295,CASA,LandPlane,2,Turboprop/Turboshaft
CN-235 Persuader,M,G,CN35,TAI,LandPlane,2,Turboprop/Turboshaft
BD-500 CSeries CS100,M,D,BCS1,BOMBARDIER,LandPlane,2,Jet
A-330-800,H,B,A338,AIRBUS,LandPlane,2,Jet
A-350-900 XWB Prestige,H,B,A359,AIRBUS,LandPlane,2,Jet
