ModelFullName,WTC,WTG,Designator,ManufacturerCode,AircraftDescription,EngineCount,EngineType
R-2160 Alpha Sport,L,G,R200,ROBIN,LandPlane,1,Piston
Pioneer 400,L,G,PNR4,ALPI,LandPlane,1,Piston
ES-101 Raven,L,G,ES11,AVIOTECNICA,Helicopter,1,Turboprop/Turboshaft
Pioneer 200,L,G,PNR2,ALPI,LandPlane,1,Piston
Pioneer 330,L,G,PNR3,ALPI,LandPlane,1,Piston
AVO-68 Samburo,L,G,AV68,NITSCHE,LandPlane,1,Piston
AC-11,L,G,ALC1,ALTAIR COELHO,LandPlane,1,Piston
Radial Rocket,L,G,RARO,SPECTRE,LandPlane,1,Piston
BD-5G Micro,L,G,BD5,BEDE,LandPlane,1,Piston
BD-5J Micro,L,G,BD5J,BEDE,LandPlane,1,Jet
Polliwagen,L,G,POLI,ALVAREZ,LandPlane,1,Piston
Double Eagle,L,G,DEAG,AMAX,Gyrocopter,1,Piston
J-6 Karatoo,L,G,KTOO,NORMAN,LandPlane,1,Piston
Sport 1700,L,G,SPOR,AMAX,LandPlane,1,Piston
Vixen,L,G,VIXN,AMAX,LandPlane,1,Piston
F-7 Rondone 2,L,G,ROND,PASOTTI,LandPlane,1,Piston
Texas Bullet 205,L,G,TB05,AMC,LandPlane,1,Piston
CH-601 Zodiac,L,G,CH60,ZENITH,LandPlane,1,Piston
CH-2000 Zénith,L,G,CH2T,ZENAIR,LandPlane,1,Piston
CH-650 Zodiac,L,G,CH65,AMD,LandPlane,1,Piston
CH-750 Cruzer,L,G,CH75,ZENITH,LandPlane,1,Piston
AA-1 T-Cat,L,G,AA1,GULFSTREAM AMERICAN,LandPlane,1,Piston
AG-5 Tiger,L,G,AA5,TIGER,LandPlane,1,Piston
Vision,L,G,VSON,PRO-COMPOSITES,LandPlane,1,Piston
Falcon XP,L,G,FALC,AMERICAN AIRCRAFT,LandPlane,1,Piston
Spinus,L,G,SPHA,AMERICAN AUTOGYRO,Gyrocopter,1,Piston
7KCAB Citabria,L,G,CH7B,CHAMPION,LandPlane,1,Piston
8 Decathlon,L,G,BL8,CHAMPION,LandPlane,1,Piston
A-101,L,G,AEA1,AMERICAN EAGLE,LandPlane,1,Piston
John Doe,L,G,JDOE,AMERICAN HOMEBUILTS,LandPlane,1,Piston
Cuby Sport Trainer,L,G,J3,WAGAERO,LandPlane,1,Piston
TX-11 Texas Sport,L,G,PA11,TEXAS SPORT,LandPlane,1,Piston
Ultrasport 496,L,G,ULTS,AMERICAN SPORTSCOPTER,Helicopter,1,Piston
Baljims,L,G,BLBU,AMEUR,LandPlane,1,Piston
Tauro,L,G,TARO,ANAHUAC,LandPlane,1,Piston
W-1 Super Kingfisher,L,G,KFIS,WARNER (1),Amphibian,1,Piston
AG-51,L,G,T250,BELLANCA,LandPlane,1,Piston
AND-51,L,G,AG14,ANDERSON-GREENWOOD,LandPlane,1,Piston
MFI-9 Junior,L,G,JUNR,MALMO,LandPlane,1,Piston
44 Angel,L,G,ANGL,KING'S,LandPlane,2,Piston
Sportster,L,G,SWAK,WARNER (2),LandPlane,1,Piston
BN-2A Mk3 Trislander,L,G,TRIS,PILATUS BRITTEN-NORMAN,LandPlane,3,Piston
AT-1,L,G,AT1,ANTONIEWSKI,LandPlane,1,Piston
An-178,M,E,A178,ANTONOV,LandPlane,2,Jet
An-3,L,G,AN3,ANTONOV,LandPlane,1,Turboprop/Turboshaft
An-8,M,D,AN8,ANTONOV,LandPlane,2,Turboprop/Turboshaft
Y-8,M,D,AN12,SHAANXI,LandPlane,4,Turboprop/Turboshaft
An-22 Antheus,H,B,AN22,ANTONOV,LandPlane,4,Turboprop/Turboshaft
Y-7E,M,E,AN24,XIAN,LandPlane,2,Turboprop/Turboshaft
Y-7H,M,E,AN26,XIAN,LandPlane,2,Turboprop/Turboshaft
M-28 Bryza (TWD-10 engines),L,G,AN28,PZL-MIELEC,LandPlane,2,Turboprop/Turboshaft
An-30,M,E,AN30,ANTONOV,LandPlane,2,Turboprop/Turboshaft
An-32 Sutlej,M,E,AN32,ANTONOV,LandPlane,2,Turboprop/Turboshaft
An-38,M,G,AN38,ANTONOV,LandPlane,2,Turboprop/Turboshaft
An-70,M,D,AN70,ANTONOV,LandPlane,4,Turboprop/Turboshaft
An-74-200,M,E,AN72,ANTONOV,LandPlane,2,Jet
An-74-300,M,E,A743,ANTONOV,LandPlane,2,Jet
An-124 Ruslan,H,B,A124,ANTONOV,LandPlane,4,Jet
IRAN-140 Faraz,M,F,A140,HESA,LandPlane,2,Turboprop/Turboshaft
An-148,M,E,A148,ANTONOV,LandPlane,2,Jet
An-158,M,,A158,ANTONOV,LandPlane,2,Jet
Alpha Jet,M,G,AJET,SABCA,LandPlane,2,Jet
S-312 Tucano,L,G,TUCA,SHORT,LandPlane,1,Turboprop/Turboshaft
GW,L,G,DRTG,DART,LandPlane,1,Piston
A-212,L,G,A210,AQUILA,LandPlane,1,Piston
RF-47,L,G,RF47,FOURNIER,LandPlane,1,Piston
S-1 Cadet,L,G,S1,INTERSTATE,LandPlane,1,Piston
S-4 Privateer,L,G,S4,ARCTIC,LandPlane,1,Piston
LS-1 Lightning,L,G,ALIG,ARION,LandPlane,1,Piston
Meteor,M,G,METR,GLOSTER,LandPlane,2,Jet
Sea Hawk,M,G,SHAW,HAWKER,LandPlane,1,Jet
Sabre 2,L,G,SAB2,KEUTHAN,LandPlane,1,Piston
F Sport,L,G,ARWF,ARROW (1),LandPlane,1,Piston
Yarrow Arrow,L,G,YARR,ARROW (2),LandPlane,1,Piston
ARV Super 2,L,G,ARV1,SKYCRAFT,LandPlane,1,Piston
Beaver,L,G,BEVR,ASAP,LandPlane,1,Piston
Chinook,L,G,CHIN,ASAP,LandPlane,1,Piston
Asso 4 Whisky,L,G,ASO4,VIDOR,LandPlane,1,Piston
Asso 10 Jewel,L,G,ASOX,VIDOR,LandPlane,1,Piston
Asso 5 Champion,L,G,ASO5,VIDOR,LandPlane,1,Piston
Liberty 181,L,G,L181,ASSOCIATED AIR,LandPlane,1,Piston
WS-70,M,G,H60,WESTLAND,Helicopter,2,Turboprop/Turboshaft
FA-18 Hornet,M,F,F18H,VALMET,LandPlane,2,Jet
122 Zephyr,L,G,ZEPH,ATEC,LandPlane,1,Piston
322 Faeta,L,G,FAET,ATEC,LandPlane,1,Piston
Omsider,L,G,OMSD,NORDIC,Amphibian,1,Piston
Dagger,M,G,MIRA,IAI,LandPlane,1,Jet
CSH-2 Rooivalk,M,G,RVAL,DENEL,Helicopter,2,Turboprop/Turboshaft
PC-7 Turbo Trainer,L,G,PC7,PILATUS,LandPlane,1,Turboprop/Turboshaft
ATR-42-320,M,F,AT43,ATR,LandPlane,2,Turboprop/Turboshaft
ATR-42-400 Surveyor,M,F,AT44,ATR,LandPlane,2,Turboprop/Turboshaft
ATR-42-500 Surveyor,M,F,AT45,ATR,LandPlane,2,Turboprop/Turboshaft
ATR-42-600,M,F,AT46,ATR,LandPlane,2,Turboprop/Turboshaft
ATR-72-202,M,F,AT72,ATR,LandPlane,2,Turboprop/Turboshaft
ATR-72-212,M,F,AT73,ATR,LandPlane,2,Turboprop/Turboshaft
ATR-72-212A (500),M,F,AT75,ATR,LandPlane,2,Turboprop/Turboshaft
ATR-72-212A (600),M,F,AT76,ATR,LandPlane,2,Turboprop/Turboshaft
Integral S,L,G,INTG,AURA AERO,LandPlane,1,Piston
Auster AOP9,L,G,AUS9,AUSTER,LandPlane,1,Piston
D-4,L,G,D4,BEAGLE-AUSTER,LandPlane,1,Piston
D-5,L,G,D5,OGMA,LandPlane,1,Piston
D-6,L,G,D6,BEAGLE-AUSTER,LandPlane,1,Piston
J,L,G,AUS5,TAYLORCRAFT (2),LandPlane,1,Piston
J-1 Autocrat,L,G,J1,TAYLORCRAFT (2),LandPlane,1,Piston
J-2 Arrow,L,G,AUJ2,AUSTER,LandPlane,1,Piston
J-4 Archer,L,G,AUJ4,AUSTER,LandPlane,1,Piston
J-5 Adventurer,L,G,ADVE,AUSTER,LandPlane,1,Piston
J-5V Autocar,L,G,ACAR,AUSTER,LandPlane,1,Piston
J-5L Aiglet Trainer,L,G,AIGT,AUSTER,LandPlane,1,Piston
J-5R Alpine,L,G,ALPI,AUSTER,LandPlane,1,Piston
K,L,G,AUS6,TAYLORCRAFT (2),LandPlane,1,Piston
Auster T7,L,G,AUS7,AUSTER,LandPlane,1,Piston
Drifter,L,G,DRIF,AUSTFLIGHT,LandPlane,1,Piston
Ultrabat,L,G,UBAT,AUSTRALITE,LandPlane,1,Piston
MTOSport,L,G,MT,ROTORSPORT,Gyrocopter,1,Piston
Calidus,L,G,CDUS,ROTORSPORT,Gyrocopter,1,Piston
Cavalon,L,G,CLON,ROTORSPORT,Gyrocopter,1,Piston
A-29,L,G,A29,AVANTAGE,LandPlane,1,Piston
A-31 Spectrum,L,G,A31,AVANTAGE,LandPlane,1,Piston
A-35 Scanner,L,G,A35,AVANTAGE,LandPlane,1,Piston
VL-3 Flamingo,L,G,VL3,VANESSA AIR,LandPlane,1,Piston
FL-3 Aviastarlet,L,G,FL3,LOMBARDI,LandPlane,1,Piston
Il-14,M,G,IL14,VEB,LandPlane,2,Piston
Accord,L,G,ACRD,AVIA (3),LandPlane,2,Piston
19 Skyrocket,L,G,BL19,BELLANCA,LandPlane,1,Piston
KT-112 Yanhol,L,G,YNHL,AVIAIMPEX,Helicopter,2,Piston
Vega 3000,L,G,VG3T,AVIAKIT,LandPlane,1,Piston
F-14 Nibbio,L,G,NIBB,AVIAMILANO,LandPlane,1,Piston
P-19 Scricciolo,L,G,P19,AVIAMILANO,LandPlane,1,Piston
110 Special,L,G,M110,MONOCOUPE,LandPlane,1,Piston
A-1 Husky,L,G,HUSK,CHRISTEN,LandPlane,1,Piston
Eagle,L,G,EAGL,CHRISTEN,LandPlane,1,Piston
S-1-11 Super Stinker,L,G,PTSS,PITTS,LandPlane,1,Piston
Super Cyclone,L,G,C185,ST. JUST,LandPlane,1,Piston
MAI-890,L,G,A890,OSKBES-MAI,LandPlane,1,Piston
MAI-900 Acrobat,L,G,A900,OSKBES-MAI,LandPlane,1,Piston
MAI-960 Interfly,L,G,A910,OSKBES-MAI,LandPlane,1,Piston
Aleks-251,L,G,A251,AVIATIK-ALYANS,Amphibian,2,Piston
Alaskan Bushmaster,L,G,ALBU,AVIATION DEVELOPMENT,LandPlane,1,Piston
Magnum,L,G,MGNM,AVIATION ENTERPRISES,LandPlane,1,Piston
ATL-98 Carvair,M,D,CARV,AVIATION TRADERS,LandPlane,4,Piston
Merkury,L,G,MERK,AVIATON,LandPlane,2,Piston
AC-311,L,G,AC31,AVICOPTER,Helicopter,1,Turboprop/Turboshaft
AC-313,M,G,AC33,AVICOPTER,Helicopter,3,Turboprop/Turboshaft
Avid Amphibian,L,G,AVAM,LIGHT AERO,Amphibian,1,Piston
IAR-99 Soim,L,G,IR99,CRAIOVA,LandPlane,1,Jet
F-1 Favorit,L,G,F1FV,AVION,LandPlane,1,Piston
FRA150 Aerobat,L,G,C150,REIMS,LandPlane,1,Piston
FA152 Aerobat,L,G,C152,REIMS,LandPlane,1,Piston
FR172 Reims Rocket,L,G,C172,REIMS,LandPlane,1,Piston
172RG Cutlass RG,L,G,C72R,CESSNA,LandPlane,1,Piston
F177RG Cardinal RG,L,G,C77R,REIMS,LandPlane,1,Piston
460,L,G,C182,WREN,LandPlane,1,Piston
A-A188 AgTruck,L,G,C188,FMA,LandPlane,1,Piston
U206 Super Skywagon,L,G,C206,CESSNA,LandPlane,1,Piston
210 Centurion,L,G,C210,CESSNA,LandPlane,1,Piston
Turbostream,L,G,C310,RILEY,LandPlane,2,Piston
O2-337 Sentry,L,G,C337,SUMMIT,LandPlane,2,Piston
Super 340,L,G,C340,RILEY,LandPlane,2,Piston
402 Utililiner,L,G,C402,CESSNA,LandPlane,2,Piston
Rocket Power 414,L,G,C414,RILEY,LandPlane,2,Piston
Super P210,L,G,P210,RILEY,LandPlane,1,Piston
FR182 Skylane RG,L,G,C82R,REIMS,LandPlane,1,Piston
T303 Crusader,L,G,C303,CESSNA,LandPlane,2,Piston
BN-2B Islander,L,G,BN2P,ROMAERO,LandPlane,2,Piston
T-66 Nipper,L,G,NIPR,TIPSY,LandPlane,1,Piston
Trainer,L,G,TIPB,TIPSY,LandPlane,1,Piston
Junior,L,G,TIJU,TIPSY,LandPlane,1,Piston
I-1,L,G,SL90,MAPO,LandPlane,1,Piston
Bearhawk,L,G,BEAR,R & B,LandPlane,1,Piston
Bearhawk Companion,L,G,BCMP,R & B,LandPlane,1,Piston
Bearhawk Patrol,L,G,BPAT,R & B,LandPlane,1,Piston
Bearhawk LSA,L,G,BLSA,R & B,LandPlane,1,Piston
Bearhawk 5,L,G,BEA5,R & B,LandPlane,1,Piston
504 Replica,L,G,A504,AVRO,LandPlane,1,Piston
616 Avian,L,G,AVIN,AVRO,LandPlane,1,Piston
621 Tutor,L,G,TUTR,AVRO,LandPlane,1,Piston
652 Anson,L,G,ANSN,AVRO,LandPlane,2,Piston
683 Lancaster,M,E,LANC,AVRO,LandPlane,4,Piston
696 Shackleton,M,D,SHAC,AVRO,LandPlane,4,Piston
S-2R-T65 Turbo Thrush 550,L,G,SS2T,THRUSH,LandPlane,1,Turboprop/Turboshaft
S-2R-660 Turbo Thrush 660,L,G,A660,THRUSH,LandPlane,1,Turboprop/Turboshaft
Saberwing,L,G,SABW,AZALEA,LandPlane,1,Piston
FK-9,L,G,FK9,B & F TECHNIK,LandPlane,1,Piston
FK-12 Comet,L,G,FK12,B & F TECHNIK,LandPlane,1,Piston
FK-14 Polaris,L,G,FK14,B & F TECHNIK,LandPlane,1,Piston
Rombac 1-11 One-Eleven,M,E,BA11,BUCURESTI,LandPlane,2,Jet
P-84 Jet Provost,L,G,JPRO,HUNTING PERCIVAL,LandPlane,1,Jet
Canberra,M,F,CNBR,SHORT,LandPlane,2,Jet
Lightning,M,F,LTNG,ENGLISH ELECTRIC,LandPlane,2,Jet
BAC-167 Strikemaster,L,G,STRK,BRITISH AEROSPACE,LandPlane,1,Jet
PA-12 Super Cruiser,L,G,PA12,PIPER,LandPlane,1,Piston
SQ-2,L,G,MSQ2,MACKEY,LandPlane,1,Piston
Hawk,L/M,G,HAWK,VALMET,LandPlane,1,Jet
Deuce ,L,G,DUCE,BAKENG,LandPlane,1,Piston
Double Duce,L,G,DDUC,BAKENG,LandPlane,1,Piston
BRC-540,L,G,BR54,BARNETT,Gyrocopter,1,Piston
J4B2,L,G,J4B2,BARNETT,Gyrocopter,1,Piston
DC-3-65TP,M,G,DC3T,SCHAFER,LandPlane,2,Turboprop/Turboshaft
Bayraktar Kızılelma,M,,KZLA,BAYKAR,LandPlane,1,Jet
Bayraktar Akıncı,L,,AKNC,BAYKAR,LandPlane,2,Turboprop/Turboshaft
Bayraktar TB-2,L,,BTB2,BAYKAR,LandPlane,1,Piston
Bayraktar TB-3	,L,,BTB3,BAYKAR,LandPlane,1,Piston
WH-6 Harpoon,L,G,WH4,HALL,LandPlane,1,Turboprop/Turboshaft
Puma,L,G,BPUM,BORTOLANZA,LandPlane,1,Piston
BD-5TP Micro,L,G,BD5T,BEDE,LandPlane,1,Turboprop/Turboshaft
A-109 Airedale,L,G,AIRD,BEAGLE-AUSTER,LandPlane,1,Piston
B-121 Pup,L,G,PUP,BEAGLE,LandPlane,1,Piston
Sk61,L,G,BDOG,SCOTTISH AVIATION,LandPlane,1,Piston
B-206,L,G,BASS,BEAGLE-AUSTER,LandPlane,2,Piston
E-3 Auster AOP11,L,G,AU11,BEAGLE-AUSTER,LandPlane,1,Piston
BD-4,L,G,BD4,TENNESSEE VALLEY,LandPlane,1,Piston
PJ-3 Falcon,L,G,BD10,PEREGRINE,LandPlane,1,Jet
BD-17 Nuggett,L,G,BD17,BEDE,LandPlane,1,Piston
YC-43 Traveler,L,G,BE17,BEECH,LandPlane,1,Piston
18,L,G,BE18,VOLPAR,LandPlane,2,Piston
Turboliner,L,G,B18T,VOLPAR,LandPlane,2,Turboprop/Turboshaft
19 Sport,L,G,BE19,BEECH,LandPlane,1,Piston
23 Sundowner,L,G,BE23,BEECH,LandPlane,1,Piston
24 Sierra,L,G,BE24,BEECH,LandPlane,1,Piston
33 Bonanza,L,G,BE33,RAYTHEON,LandPlane,1,Piston
Starfire Bonanza 35,L,G,BE35,COLEMILL,LandPlane,1,Piston
T-34 Mentor,L,G,T34P,FUJI,LandPlane,1,Piston
Excalibur,L,G,BE50,SWEARINGEN,LandPlane,2,Piston
President 600,L,G,BE55,COLEMILL,LandPlane,2,Piston
56 Turbo Baron,L,G,BE56,BEECH,LandPlane,2,Piston
58 Baron,L,G,BE58,RAYTHEON,LandPlane,2,Piston
60 Duke,L,G,BE60,BEECH,LandPlane,2,Piston
800 (65),L,G,BE65,SWEARINGEN,LandPlane,2,Piston
70 Queen Air,L,G,BE70,BEECH,LandPlane,2,Piston
76 Duchess,L,G,BE76,BEECH,LandPlane,2,Piston
77 Skipper,L,G,BE77,BEECH,LandPlane,1,Piston
800 (80),L,G,BE80,SWEARINGEN,LandPlane,2,Piston
88 Queen Air,L,G,BE88,BEECH,LandPlane,2,Piston
U-21G Ute,L,G,U21,BEECH,LandPlane,2,Turboprop/Turboshaft
Taurus 90,L,G,BE9L,SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
90 (F90) King Air,L,G,BE9T,BEECH,LandPlane,2,Turboprop/Turboshaft
95 Travel Air,L,G,BE95,BEECH,LandPlane,2,Piston
99 Airliner,L,G,BE99,BEECH,LandPlane,2,Turboprop/Turboshaft
U-21F Ute,L,G,BE10,BEECH,LandPlane,2,Turboprop/Turboshaft
C-12 Huron,L/M,G,BE20,RAYTHEON,LandPlane,2,Turboprop/Turboshaft
LR-2 Super King Air 350,L/M,G,B350,RAYTHEON,LandPlane,2,Turboprop/Turboshaft
300 Super King Air,L,G,BE30,RAYTHEON,LandPlane,2,Turboprop/Turboshaft
T-400,M,G,BE40,RAYTHEON,LandPlane,2,Jet
QU-22,L,G,U22,BEECH,LandPlane,1,Piston
1900,M,G,B190,RAYTHEON,LandPlane,2,Turboprop/Turboshaft
2000 Starship,L,G,STAR,RAYTHEON,LandPlane,2,Turboprop/Turboshaft
G36 Bonanza,L,G,BE36,RAYTHEON,LandPlane,1,Piston
T-3Kai,L,G,T34T,FUJI,LandPlane,1,Turboprop/Turboshaft
60 Royal Turbine Duke,L,G,B60T,NORTHWEST TURBINE,LandPlane,2,Turboprop/Turboshaft
B36TC Bonanza,L,G,BT36,RAYTHEON,LandPlane,1,Piston
58TC Baron,L,G,B58T,BEECH,LandPlane,2,Piston
Hawker 400XPR,M,G,BE4W,RAYTHEON,LandPlane,2,Jet
T-6 Texan T1,L,G,TEX2,TEXTRON,LandPlane,1,Turboprop/Turboshaft
220 Denali,L,G,BE22,TEXTRON,LandPlane,1,Turboprop/Turboshaft
60 Marquis,L,G,BS60,BEECH-SFERMA,LandPlane,2,Turboprop/Turboshaft
GB Special,L,G,GBSP,BEETS,LandPlane,1,Piston
AD-200,L,G,AD20,NANJING UNIVERSITY,LandPlane,1,Piston
B,L,G,TVLB,TRAVEL AIR,LandPlane,1,Piston
CH-2A Chipper 2,L,G,CHP2,BELITE,LandPlane,1,Piston
206L-ST Gemini ST,L,G,B06T,TRIDAIR,Helicopter,2,Turboprop/Turboshaft
AH-1 HueyCobra,L,G,HUCO,FUJI,Helicopter,1,Turboprop/Turboshaft
2091,M,G,SUCO,PANHA,Helicopter,2,Turboprop/Turboshaft
214C BigLifter,M,G,B214,BELL,Helicopter,1,Turboprop/Turboshaft
214ST SuperTransport,M,G,BSTP,BELL,Helicopter,2,Turboprop/Turboshaft
222,L,G,B222,BELL,Helicopter,2,Turboprop/Turboshaft
230,L,G,B230,BELL,Helicopter,2,Turboprop/Turboshaft
NBell-407,L,G,B407,NUSANTARA,Helicopter,1,Turboprop/Turboshaft
SB-427,L,G,B427,KOREA AEROSPACE,Helicopter,2,Turboprop/Turboshaft
429 GlobalRanger,L,G,B429,BELL,Helicopter,2,Turboprop/Turboshaft
430,L,G,B430,BELL,Helicopter,2,Turboprop/Turboshaft
P-39 Airacobra,L,G,P39,BELL,LandPlane,1,Piston
P-63 Kingcobra,L,G,P63,BELL,LandPlane,1,Piston
UH-1Y,M,G,UH1Y,BELL,Helicopter,2,Turboprop/Turboshaft
525 Relentless,M,G,B525,BELL,Helicopter,2,Turboprop/Turboshaft
505 Jet Ranger X,L,G,B505,BELL,Helicopter,1,Turboprop/Turboshaft
V-280 Valor,M,,V280,BELL,Tiltrotor,2,Turboprop/Turboshaft
14 Bellanca 260C,L,G,B14C,INTER-AIR,LandPlane,1,Piston
14 Cruisemaster,L,G,B14A,NORTHERN,LandPlane,1,Piston
DW-1 Eagle,L,G,DW1,EAGLE,LandPlane,1,Piston
31 Senior Skyrocket,L,G,PACE,BELLANCA,LandPlane,1,Piston
V-22 Osprey,M,F,V22,BELL-BOEING,Tiltrotor,2,Turboprop/Turboshaft
A-40 Albatross,M,D,BER4,BERIEV,Amphibian,2,Jet
Be-976,H,C,A50,ILYUSHIN,LandPlane,4,Jet
Be-12 Tchaika,M,E,BE12,BERIEV,Amphibian,2,Turboprop/Turboshaft
Be-32,M,G,BE32,BERIEV,LandPlane,2,Turboprop/Turboshaft
Be-103 Bekas,L,G,B103,BERIEV,Amphibian,2,Piston
Be-200 Altair,M,D,BER2,BERIEV,Amphibian,2,Jet
SA-20,L,G,SA20,BERIEV,Amphibian,1,Piston
Berkut,L,G,BKUT,RENAISSANCE (1),LandPlane,1,Piston
Sky Ranger,L,G,SKRA,SYNAIRGIE,LandPlane,1,Piston
Nynja,L,G,NNJA,BEST OFF,LandPlane,1,Piston
LT-2 Swati,L,G,SWAT,BHARAT,LandPlane,1,Piston
SC-07 Speed Cruiser,L,G,BISC,BOT AIRCRAFT,LandPlane,1,Piston
CP-301 Emeraude,L,G,CP30,STARK,LandPlane,1,Piston
2180 Kachina,L,G,MOR2,VARGA,LandPlane,1,Piston
DoBü-133 Jungmeister,L,G,BU33,DORNIER,LandPlane,1,Piston
Swordfish,L,G,SWOR,FAIREY,LandPlane,1,Piston
Bk-100 Prime,L,G,PRIM,BLACKSHAPE,LandPlane,1,Piston
BS-115 Gabriel,L,G,GABR,BLACKSHAPE,LandPlane,1,Piston
BW-600,L,G,BW60,BLACKWING,LandPlane,1,Piston
BW-635,L,G,BW6T,BLACKWING,LandPlane,1,Piston
11 Replica,L,G,BL11,BLERIOT,LandPlane,1,Piston
E-Z Harvard,L,G,EZHV,BLUE YONDER,LandPlane,1,Piston
E-Z King Cobra,L,G,EZKC,BLUE YONDER,LandPlane,1,Piston
Twin E-Z Flyer,L,G,EZFT,BLUE YONDER,LandPlane,2,Piston
PT-17 Kaydet,L,G,ST75,STEARMAN,LandPlane,1,Piston
707-100,M,D,B701,BOEING,LandPlane,4,Jet
707 Phalcon,H,C,B703,IAI,LandPlane,4,Jet
717-200 Business Express,M,E,B712,BOEING,LandPlane,2,Jet
720,M,D,B720,BOEING,LandPlane,4,Jet
C-22,M,D,B721,BOEING,LandPlane,3,Jet
727-100RE Super 27,M,D,R721,BOEING,LandPlane,3,Jet
727-200,M,D,B722,BOEING,LandPlane,3,Jet
787-10 Dreamliner,H,B,B78X,BOEING,LandPlane,2,Jet
727-200RE Super 27,M,D,R722,BOEING,LandPlane,3,Jet
VC-96,M,E,B732,BOEING,LandPlane,2,Jet
737-300,M,E,B733,BOEING,LandPlane,2,Jet
737-400,M,E,B734,BOEING,LandPlane,2,Jet
737-500,M,E,B735,BOEING,LandPlane,2,Jet
737-600,M,D,B736,BOEING,LandPlane,2,Jet
C-40 Clipper,M,D,B737,BOEING,LandPlane,2,Jet
737-700 AEWC,M,D,E737,BOEING,LandPlane,2,Jet
737-800 BBJ2,M,D,B738,BOEING,LandPlane,2,Jet
737-900 BBJ3,M,D,B739,BOEING,LandPlane,2,Jet
747-100,H,B,B741,BOEING,LandPlane,4,Jet
VC-25A,H,B,B742,BOEING,LandPlane,4,Jet
747-300,H,B,B743,BOEING,LandPlane,4,Jet
747-400LCF Dreamlifter,H,B,BLCF,BOEING,LandPlane,4,Jet
747SP,H,B,B74S,BOEING,LandPlane,4,Jet
747SR,H,B,B74R,BOEING,LandPlane,4,Jet
C-32,M,D,B752,BOEING,LandPlane,2,Jet
757-300,M,D,B753,BOEING,LandPlane,2,Jet
KC-46 Pegasus,H,C,B762,BOEING,LandPlane,2,Jet
767-300,H,C,B763,BOEING,LandPlane,2,Jet
767-400,H,C,B764,BOEING,LandPlane,2,Jet
777-200ER,H,B,B772,BOEING,LandPlane,2,Jet
777-200LR BBJ,H,B,B77L,BOEING,LandPlane,2,Jet
777-300,H,B,B773,BOEING,LandPlane,2,Jet
777-300ER BBJ,H,B,B77W,BOEING,LandPlane,2,Jet
787-8 BBJ,H,B,B788,BOEING,LandPlane,2,Jet
787-9 BBJ,H,B,B789,BOEING,LandPlane,2,Jet
WAH-64 Apache,M,G,H64,WESTLAND,Helicopter,2,Turboprop/Turboshaft
B-17 Flying Fortress,M,E,B17,BOEING,LandPlane,4,Piston
B-29 Superfortress,M,D,B29,BOEING,LandPlane,4,Piston
B-52 Stratofortress,H,B,B52,BOEING,LandPlane,8,Jet
C-17 Globemaster 3,H,C,C17,MCDONNELL DOUGLAS,LandPlane,4,Jet
C-97 Stratofreighter,M,D,C97,BOEING,LandPlane,4,Piston
KC-135T Stratotanker,H,C,K35R,BOEING,LandPlane,4,Jet
E-3C Sentry,H,C,E3TF,BOEING,LandPlane,4,Jet
KC-135E Stratotanker,H,C,K35E,BOEING,LandPlane,4,Jet
KE-3,H,C,KE3,BOEING,LandPlane,4,Jet
MD-10,H,C,DC10,MCDONNELL DOUGLAS,LandPlane,3,Jet
MD-11,H,C,MD11,MCDONNELL DOUGLAS,LandPlane,3,Jet
MD-81,M,D,MD81,MCDONNELL DOUGLAS,LandPlane,2,Jet
MD-82,M,D,MD82,SHANGHAI,LandPlane,2,Jet
MD-83,M,D,MD83,SHANGHAI,LandPlane,2,Jet
MD-87,M,D,MD87,MCDONNELL DOUGLAS,LandPlane,2,Jet
MD-88,M,D,MD88,MCDONNELL DOUGLAS,LandPlane,2,Jet
MD-90,M,D,MD90,SHANGHAI,LandPlane,2,Jet
E-3F Sentry,H,C,E3CF,BOEING,LandPlane,4,Jet
E-6 Mercury,H,C,E6,BOEING,LandPlane,4,Jet
E-767,H,C,E767,BOEING,LandPlane,2,Jet
F-15 Eagle,M,F,F15,MITSUBISHI,LandPlane,2,Jet
MD-520N,L,G,MD52,MD HELICOPTERS,Helicopter,1,Turboprop/Turboshaft
MD-600N,L,G,MD60,MD HELICOPTERS,Helicopter,1,Turboprop/Turboshaft
MD-902 Explorer,L,G,EXPL,MD HELICOPTERS,Helicopter,2,Turboprop/Turboshaft
RC-135 Airseeker,H,C,R135,BOEING,LandPlane,4,Jet
WC-135W,H,C,C135,BOEING,LandPlane,4,Jet
737-800 Poseidon,M,D,P8,BOEING,LandPlane,2,Jet
VC-25B,H,B,B748,BOEING,LandPlane,4,Jet
FA-18F Super Hornet,M,F,F18S,MCDONNELL DOUGLAS,LandPlane,2,Jet
737-7,M,D,B37M,BOEING,LandPlane,2,Jet
737-8200,M,D,B38M,BOEING,LandPlane,2,Jet
737-9,M,D,B39M,BOEING,LandPlane,2,Jet
777-8F,H,B,B778,BOEING,LandPlane,2,Jet
777-9,H,B,B779,BOEING,LandPlane,2,Jet
YL-15 Scout,L,G,YL15,BOEING,LandPlane,1,Piston
747-400,H,B,B744,BOEING,LandPlane,4,Jet
40,L,G,BO40,BOEING,LandPlane,1,Piston
MQ-25 Stingray,M,Z,Q25,BOEING,LandPlane,1,Jet
